Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
234,"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62000,6820,125
235,Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370000,,25
236,Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52000,19760,291
237,Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37000,,253
238,Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000,,262
239,Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,,,240
240,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50000,,11
241,Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81000,27540,66
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000,,180
243,The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420000,159600,44
244,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8100,,250
245,U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000,,264
246,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86000,,40
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000,,172
248,Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17000,,248
249,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130000,,46
250,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67000,,10
251,Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68000,18360,194
252,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100000,26000,18
253,Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25000,,71
254,Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32000,,206
255,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250000,,201
256,"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11000,,74
257,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69000,15870,75
258,Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13000,,133
259,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60000,,123
260,Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180000,,42
261,Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed,120000,,29
262,Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63000,,207
263,Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110000,,65
264,Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58000,13340,61
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000,8970,55
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000,,16
267,"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37000,,163
