Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
570,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23000,,39
571,IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3500,945,212
572,Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34000,9180,67
573,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3900,,261
574,Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4200,,142
575,Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8400,2520,67
576,The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9400,,11
577,Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34000,,72
578,Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22000,,57
579,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36000,,28
580,Sports and Society,Duke University,COURSE,4.8,Mixed,16000,,70
581,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49000,,35
582,Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66000,13860,268
583,Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9400,3008,60
584,Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200000,,47
585,Machine Learning for All,University of London,COURSE,4.6,Beginner,19000,,62
586,Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22000,,79
587,The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29000,,12
588,Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11000,3410,38
589,Version Control with Git,Atlassian,COURSE,4.8,Mixed,40000,,24
590,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9700,,57
591,Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39000,,51
592,Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9200,,220
593,International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11000,,69
594,Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2600,,36
595,UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25000,,62
596,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5500,,128
597,Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,,59000,14750,33
598,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110000,37400,15
599,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44000,4840,61
600,Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68000,23800,24
601,Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5600,1624,145
602,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29000,,37
603,Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19000,,43
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000,,44
605,Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24000,7200,19
606,Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23000,7360,21
607,Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69000,,121
608,Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16000,,26
609,How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34000,,300
610,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000,,78
611,Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38000,5320,231
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2900,,19
613,English Composition I,Duke University,COURSE,4.6,Beginner,200000,32000,30
614,User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43000,,179
615,International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26000,7800,201
616,The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,,33000,12210,63
617,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11000,1870,13
618,Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12000,,123
619,Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner,12000,,58
620,Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27000,4320,51
621,Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27000,,120
622,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,15000,,21
623,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20000,2400,56
624,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5600,,59
625,Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76000,,77
626,Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39000,,40
627,Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8200,,29
628,Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150000,,12
629,Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47000,9400,56
630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150000,,23
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000,,25
632,Roman Architecture,Yale University,COURSE,4.9,Beginner,30000,,29
633,Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180000,,50
634,Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5200,,50
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000,,13
636,Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46000,,42
637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42000,,25
638,Unraveling the Cycling City,,COURSE,4.9,Intermediate,3900,546,34
639,Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4400,,44
640,Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2200,,226
641,Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110000,27500,78
642,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180000,54000,66
643,Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10000,,61
644,Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4000,,251
645,Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9500,,10
646,Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40000,,32
647,Systems Thinking In Public Health,,COURSE,4.9,Mixed,33000,,59
648,Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60000,14400,145
649,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41000,,23
650,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47000,18800,10
651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15000,,65
652,Mountains 101,University of Alberta,COURSE,4.9,Mixed,44000,,37
653,Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7300,,26
654,Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17000,,204
655,Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120000,,73
656,Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16000,,44
657,Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28000,2800,56
658,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,35000,,79
659,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4,Intermediate,13000,,85
660,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22000,3960,29
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000,,21
662,C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31000,11470,59
663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11000,,78
664,Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84000,,52
665,Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,79000,,51
666,The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28000,,53
667,Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36000,,40
668,Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8900,,18
669,Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58000,,57
670,Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22000,,38
671,"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47000,,12
672,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61000,,73
673,Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25000,,171
674,Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17000,,71
675,Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4000,,299
676,Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29000,,10
677,The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,,19000,2090,59
678,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26000,,74
679,Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3000,840,201
680,Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17000,2550,65
681,Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59000,,33
682,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000,3720,185
683,Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68000,,44
684,Write Your First Novel,Michigan State University,COURSE,4.4,Beginner,18000,,24
685,Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21000,,44
686,Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,,,42
687,Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35000,,52
688,Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15000,1800,68
689,Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6000,,12
690,The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12000,3000,70
691,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75000,,28
692,Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39000,,19
693,Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1800,522,226
694,Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19000,,52
695,Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61000,,67
696,The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59000,,69
697,Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40000,8000,77
698,From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52000,,56
699,Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23000,,237
700,Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5500,2145,157
701,International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25000,8500,34
702,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22000,,15
703,Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,Beginner,83000,,60
704,Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31000,,69
705,Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47000,13630,31
706,Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36000,14400,42
707,Ecosystem Services: a Method for Sustainable Development,,COURSE,4.7,Intermediate,16000,3200,67
708,Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35000,4200,67
709,Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15000,2550,247
710,Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62000,,69
711,Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21000,,34
712,Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14000,1400,19
713,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14000,,72
714,Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7800,,59
715,Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36000,,52
716,The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14000,,16
717,"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44000,7920,131
718,Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23000,,44
719,Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,,0,48
720,Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8000,,155
721,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63000,,72
722,Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16000,,193
723,Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27000,,28
724,Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150000,,21
725,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10000,,29
726,Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19000,,15
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900,2277,25
728,Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19000,3610,66
729,Introduction to Self-Driving Cars,,COURSE,4.8,Advanced,39000,,58
730,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22000,,22
731,Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70000,25900,70
732,Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19000,,43
733,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17000,2890,146
734,Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59000,,68
735,Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4100,,23
736,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31000,,21
737,Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22000,,29
738,Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77000,,10
739,Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5400,1944,294
740,Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7600,1824,29
741,Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4500,,145
742,Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25000,,166
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000,,35
744,Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16000,,10
745,Introduction to Electronics,,COURSE,4.7,Mixed,110000,38500,42
746,Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49000,11270,37
747,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10000,1200,48
748,Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18000,,190
749,Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11000,,70
750,"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6300,1764,228
751,Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1900,,15
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7900,1106,229
753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66000,9240,30
754,Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12000,,166
755,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5900,,30
756,Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41000,,47
757,Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210000,56700,59
758,Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33000,,15
759,The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11000,,43
760,Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24000,,65
761,Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3600,,24
762,Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6500,,61
763,Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6800,1292,25
764,Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23000,,65
765,Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3200,,131
766,Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12000,4560,39
767,How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140000,,120
768,The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23000,,27
769,Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14000,,21
770,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2400,816,36
771,"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7700,2926,78
772,Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110000,11000,15
773,Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3400,,42
774,Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54000,,38
775,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62000,13640,27
776,Becoming a Sports Agent,,COURSE,4.7,Beginner,6500,1300,53
777,Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37000,5550,74
778,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,,,58
779,iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,76000,,330
780,Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20000,2800,10
781,Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16000,,219
782,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33000,7590,23
783,Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19000,,76
784,Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34000,,24
785,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62000,,67
786,Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22000,5060,217
787,Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,17000,5950,66
788,Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53000,20670,73
789,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5,Beginner,1500,,40
790,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170000,,16
791,Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78000,,41
792,Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15000,,48
793,"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150000,52500,233
794,Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15000,,22
795,New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12000,,31
796,Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47000,,68
797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100,2511,29
798,Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30000,,213
799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000,,75
800,Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55000,18700,26
801,Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58000,,77
802,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14000,1680,60
803,Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7400,,70
804,Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60000,16200,60
805,Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12000,2880,33
806,Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4500,,10
807,Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8500,,71
808,Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22000,3740,15
809,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4200,,163
810,Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12000,,60
811,Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,,67000,,40
812,Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100000,,216
813,Decision-Making and Scenarios,,COURSE,4.6,Mixed,31000,5890,80
814,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20000,,39
815,Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49000,18130,73
816,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13000,1300,48
817,Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13000,,177
818,The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50000,,75
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600,,34
820,Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5500,,47
821,Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140000,,56
822,Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9500,,50
823,Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69000,24150,14
824,Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67000,,64
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14000,,54
826,The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1700,,215
827,Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3000,,56
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000,,36
829,What future for education?,UCL Institute of Education,COURSE,4.7,Mixed,35000,,59
830,Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60000,,50
831,Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,,240000,,68
832,EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7100,,42
833,Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3200,1056,49
834,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38000,5320,39
835,Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37000,,15
836,Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6400,1664,208
837,Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9700,1067,75
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000,,36
839,Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7200,2880,36
840,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48000,,16
841,Основы разработки на C++: белый пояс,E-Learning Development Fund,COURSE,4.9,Intermediate,41000,6150,62
842,Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17000,,31
843,Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29000,,45
844,Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46000,,26
845,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46000,12420,43
846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12000,,46
847,Estadística y probabilidad,,COURSE,4.7,Beginner,27000,,61
848,Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51000,,24
849,Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36000,,29
850,Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79000,,37
851,Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4400,,45
852,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57000,,76
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000,6300,60
854,Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15000,,76
855,Digital Business Models,Lund University,COURSE,4.5,Beginner,21000,,50
856,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1700,,77
